cidade,data,ano,mes,temperatura_media,precipitacao,casos
Brasília,2019-03-22,2019,3,23.1,0.2,165
Brasília,2019-11-04,2019,11,24.45,11.399999999999999,34
Brasília,2019-02-16,2019,2,23.299999999999997,9.2,8
Brasília,2019-03-26,2019,3,22.299999999999997,20.0,162
Brasília,2019-10-29,2019,10,24.45,1.0,16
Brasília,2019-11-06,2019,11,24.05,1.4,15
Brasília,2019-02-14,2019,2,24.15,2.2,63
Brasília,2019-05-10,2019,5,23.15,0.0,229
,2019-01-20,2019,1,24.35,0.2,
Brasília,2019-11-24,2019,11,23.15,0.8,11
Brasília,2019-12-26,2019,12,23.65,0.0,28
Brasília,2019-03-27,2019,3,22.1,30.799999999999997,250
Brasília,2019-01-08,2019,1,23.25,0.0,17
Brasília,2019-10-24,2019,10,22.4,1.2,10
Brasília,2019-02-15,2019,2,23.0,0.2,77
Brasília,2019-04-01,2019,4,22.15,0.0,225
Brasília,2019-05-15,2019,5,22.05,0.0,307
Brasília,2019-09-23,2019,9,25.0,0.0,15
Brasília,2019-11-20,2019,11,21.6,9.4,26
Brasília,2019-09-17,2019,9,23.4,0.0,15
Brasília,2019-05-18,2019,5,20.549999999999997,0.0,99
Brasília,2019-01-12,2019,1,23.049999999999997,0.6000000000000001,1
Brasília,2019-08-20,2019,8,23.35,0.0,15
Brasília,2019-04-08,2019,4,21.1,7.800000000000001,204
Brasília,2019-09-25,2019,9,25.05,1.2,15
Brasília,2019-08-24,2019,8,22.4,0.0,6
Brasília,2019-05-14,2019,5,21.2,0.0,322
Brasília,2019-07-11,2019,7,17.5,0.0,76
Brasília,2019-07-22,2019,7,19.450000000000003,0.0,47
Brasília,2019-06-14,2019,6,20.8,0.0,237
Brasília,2019-06-13,2019,6,20.5,0.0,388
Brasília,2019-06-16,2019,6,19.6,0.0,97
Brasília,2019-08-11,2019,8,21.5,0.0,12
Brasília,2019-08-06,2019,8,18.35,0.0,33
Brasília,2019-08-07,2019,8,19.7,0.0,19
Brasília,2022-01-06,2022,1,22.45,3.6,78
Brasília,2022-02-01,2022,2,22.35,0.0,155
Brasília,2022-02-08,2022,2,21.4,10.600000000000001,244
Brasília,2022-02-10,2022,2,21.75,0.6000000000000001,185
Brasília,2022-03-23,2022,3,22.7,0.0,441
Brasília,2022-03-31,2022,3,23.0,0.0,451
Brasília,2022-04-26,2022,4,22.8,0.0,760
Brasília,2022-05-01,2022,5,20.4,0.0,118
Brasília,2022-05-06,2022,5,22.6,14.4,396
Brasília,2022-05-11,2022,5,19.8,0.0,468
Brasília,2022-05-13,2022,5,21.45,0.0,429
Brasília,2022-05-14,2022,5,21.75,0.0,138
Brasília,2022-05-21,2022,5,16.55,0.0,214
Brasília,2022-05-24,2022,5,20.5,0.0,427
Brasília,2022-05-26,2022,5,19.4,0.0,327
Brasília,2022-05-28,2022,5,18.6,0.0,111
Brasília,2022-06-01,2022,6,19.9,0.0,338
Brasília,2022-06-06,2022,6,19.4,0.0,268
Brasília,2022-06-21,2022,6,20.05,0.0,164
Brasília,2022-07-01,2022,7,18.9,0.0,130
Brasília,2022-07-12,2022,7,17.95,0.0,126
Brasília,2022-07-17,2022,7,19.4,0.0,17
Brasília,2022-08-11,2022,8,18.05,0.0,43
Brasília,2022-08-13,2022,8,20.85,0.0,15
Brasília,2022-08-29,2022,8,21.9,0.0,53
Brasília,2022-09-09,2022,9,21.8,0.0,60
Brasília,2022-09-12,2022,9,24.900000000000002,0.0,80
Brasília,2022-09-17,2022,9,25.299999999999997,1.4,29
Brasília,2022-09-23,2022,9,21.4,0.0,67
Brasília,2022-10-01,2022,10,24.05,0.0,28
